Date,Control,Debit,Credit,Net
1/1/2025,R-1567591,20.00,0.00,20.00
1/1/2025,R-1567591,75.00,0.00,75.00
1/1/2025,R-1567591,11.56,0.00,11.56
1/1/2025,R-1567591,5.00,0.00,5.00
1/1/2025,R-1567591,1.74,0.00,1.74
1/1/2025,R-1567591,10.74,0.00,10.74
1/1/2025,R-1567591,"2,511.00",0.00,"2,511.00"
1/1/2025,R-1567592,"2,343.00",0.00,"2,343.00"
1/1/2025,R-1567592,75.00,0.00,75.00
1/1/2025,R-1567592,3.63,0.00,3.63
1/1/2025,R-1567592,15.32,0.00,15.32
1/1/2025,R-1567592,10.73,0.00,10.73
1/1/2025,R-1567592,20.00,0.00,20.00
1/1/2025,R-1567592,5.00,0.00,5.00
1/1/2025,R-1567592,55.00,0.00,55.00
1/1/2025,R-1567592,1.74,0.00,1.74
1/1/2025,R-1567592,16.38,0.00,16.38
1/1/2025,R-1567592,18.17,0.00,18.17
1/1/2025,R-1567593,37.96,0.00,37.96
1/1/2025,R-1567593,68.92,0.00,68.92
1/1/2025,R-1567593,"2,574.00",0.00,"2,574.00"
1/1/2025,R-1567593,10.73,0.00,10.73
1/1/2025,R-1567593,3.63,0.00,3.63
1/1/2025,R-1567593,4.00,0.00,4.00
1/1/2025,R-1567593,54.65,0.00,54.65
1/1/2025,R-1567593,44.37,0.00,44.37
1/1/2025,R-1567593,1.74,0.00,1.74
1/1/2025,R-1567594,500.00,0.00,500.00
1/1/2025,R-1567594,3.63,0.00,3.63
1/1/2025,R-1567594,40.00,0.00,40.00
1/1/2025,R-1567594,20.00,0.00,20.00
1/1/2025,R-1567594,29.31,0.00,29.31
1/1/2025,R-1567594,33.87,0.00,33.87
1/1/2025,R-1567594,5.00,0.00,5.00
1/1/2025,R-1567594,1.74,0.00,1.74
1/1/2025,R-1567594,10.73,0.00,10.73
1/1/2025,R-1567594,42.03,0.00,42.03
1/1/2025,R-1567594,"2,298.00",0.00,"2,298.00"
1/1/2025,R-1567594,75.00,0.00,75.00
1/1/2025,R-1567594,55.00,0.00,55.00
1/1/2025,R-1567595,20.00,0.00,20.00
1/1/2025,R-1567595,"2,287.00",0.00,"2,287.00"
1/1/2025,R-1567595,5.00,0.00,5.00
